date,nav
2022-02-01,1000000.0
2022-02-02,994955.1661888515
2022-02-03,987844.5682757485
2022-02-04,996516.7329737336
2022-02-07,1000708.6839174686
2022-02-08,1003635.0039795478
2022-02-09,997872.330650626
2022-02-10,995198.9239575448
2022-02-11,1007019.6518336654
2022-02-14,1023879.1359701958
2022-02-15,1026439.5956279273
2022-02-16,1029673.4690382129
2022-02-17,1024402.4977714976
2022-02-18,1033035.2207419577
2022-02-21,1041370.396839178
2022-02-22,1035620.1231996943
2022-02-23,1023840.5253873847
2022-02-24,1021273.0556656509
2022-02-25,1017803.6946957193
2022-02-28,1028332.1183101698
2022-03-01,1034264.5931938037
2022-03-02,1050322.2522880957
2022-03-03,1053972.7565442172
2022-03-04,1047857.9277376803
2022-03-07,1043745.717952402
2022-03-08,1052407.6151840324
2022-03-09,1046766.9398701038
2022-03-10,1043787.623431354
2022-03-11,1046452.2936671536
2022-03-14,1037895.0310291164
2022-03-15,1038793.4830178198
2022-03-16,1047251.16829022
2022-03-17,1058083.5495384254
2022-03-18,1050228.7739626176
2022-03-21,1052759.8592833125
2022-03-22,1038487.0270797093
2022-03-23,1043299.2574808188
2022-03-24,1038199.5455761667
2022-03-25,1046788.6902559341
2022-03-28,1074647.8440345034
2022-03-29,1077411.6425642865
2022-03-30,1074818.1250261425
2022-03-31,1068491.5789167401
2022-04-01,1078444.4615309564
2022-04-04,1076395.1308752538
2022-04-05,1084965.2443573289
2022-04-06,1090115.5370218796
2022-04-07,1106585.8723596404
2022-04-08,1100624.7374243266
2022-04-11,1101809.0011449473
2022-04-12,1108574.2017382295
2022-04-13,1120319.4740962994
2022-04-14,1135095.9087625793
2022-04-15,1129544.4503561142
2022-04-18,1123941.5157341375
2022-04-19,1140867.9549124723
2022-04-20,1115552.3487252016
2022-04-21,1134729.2997569335
2022-04-22,1129706.0794089877
2022-04-25,1128885.330790587
2022-04-26,1119639.117804899
2022-04-27,1119660.9598027556
2022-04-28,1139456.881124146
2022-04-29,1148442.5545019677
2022-05-02,1154356.4759208236
2022-05-03,1169552.0074408886
2022-05-04,1173271.0306921215
2022-05-05,1178842.2279127168
2022-05-06,1165037.814026836
2022-05-09,1166365.8601772813
2022-05-10,1165857.9562843658
2022-05-11,1177541.6691019644
2022-05-12,1193181.9314745544
2022-05-13,1219332.1314747585
2022-05-16,1223040.852317059
2022-05-17,1230373.0419131734
2022-05-18,1233802.4731920443
2022-05-19,1231184.1548991753
2022-05-20,1232598.9442719747
2022-05-23,1226313.1342635644
2022-05-24,1231303.9740507838
2022-05-25,1250601.6287433002
2022-05-26,1235164.1009315655
2022-05-27,1245655.0842114447
2022-05-30,1261997.3205709353
2022-05-31,1258369.3743600496
2022-06-01,1229775.3524359069
2022-06-02,1209668.3259724812
2022-06-03,1198319.6881975112
2022-06-06,1201630.1760023546
2022-06-07,1202152.3986901413
2022-06-08,1208900.0433162337
2022-06-09,1220076.889480649
2022-06-10,1237076.909369963
2022-06-13,1242884.935543599
2022-06-14,1239906.679042623
2022-06-15,1237397.4376548924
2022-06-16,1230326.347726721
2022-06-17,1241094.47512564
2022-06-20,1228933.5320817225
2022-06-21,1238296.6224374957
2022-06-22,1245166.0384263038
2022-06-23,1253045.1884993915
2022-06-24,1253667.2999406497
2022-06-27,1232272.1522458533
2022-06-28,1223815.6060210771
2022-06-29,1218302.1310009456
2022-06-30,1219538.2054497479
2022-07-01,1216105.811174033
2022-07-04,1223917.9345617956
2022-07-05,1203824.1244826312
2022-07-06,1197339.9557384779
2022-07-07,1208453.2958032447
2022-07-08,1202931.4062601132
2022-07-11,1212924.22362341
2022-07-12,1203572.761280872
2022-07-13,1187258.413320532
2022-07-14,1203681.3844393198
2022-07-15,1197925.0389951784
2022-07-18,1196074.9003947605
2022-07-19,1199991.4315353357
2022-07-20,1178212.7520158878
2022-07-21,1174455.612949899
2022-07-22,1194286.481563047
2022-07-25,1199693.1692787402
2022-07-26,1194831.214637185
2022-07-27,1204248.9915831864
2022-07-28,1209536.968929047
2022-07-29,1215462.5006566462
2022-08-01,1210410.935363882
2022-08-02,1234114.755564438
2022-08-03,1246851.4028805057
2022-08-04,1241605.5665568768
2022-08-05,1242647.4148837628
2022-08-08,1228413.0294767658
2022-08-09,1244996.4937194288
2022-08-10,1254698.0034954876
2022-08-11,1248817.09116873
2022-08-12,1245751.5943669062
2022-08-15,1224277.1304809824
2022-08-16,1220488.9095786454
2022-08-17,1230021.7925114762
2022-08-18,1241799.0898887028
2022-08-19,1255648.1467574132
2022-08-22,1246801.6789047087
2022-08-23,1257749.0920009299
2022-08-24,1254714.5344030522
2022-08-25,1240710.1385728505
2022-08-26,1238584.8461073856
2022-08-29,1241887.2772407017
2022-08-30,1253720.3483822625
2022-08-31,1238132.1682462273
2022-09-01,1229526.870616955
2022-09-02,1229373.128662034
2022-09-05,1227717.1160838373
2022-09-06,1229569.7761116521
2022-09-07,1249975.139150676
2022-09-08,1233787.9659652282
2022-09-09,1249171.1049664852
2022-09-12,1250994.5336160806
2022-09-13,1238279.9053106378
2022-09-14,1235341.917080137
2022-09-15,1235421.3583840379
2022-09-16,1245625.4880255994
2022-09-19,1260308.738634775
2022-09-20,1265749.593690436
2022-09-21,1271417.682490603
2022-09-22,1272838.268149903
2022-09-23,1253360.85411083
2022-09-26,1252559.5103738923
2022-09-27,1269642.7762189438
2022-09-28,1256942.2017464743
2022-09-29,1247631.3886209133
2022-09-30,1254072.2243025322
2022-10-03,1231036.943587139
2022-10-04,1212661.1721921798
2022-10-05,1213955.7356722385
2022-10-06,1206401.7525749675
2022-10-07,1221181.3889909564
2022-10-10,1238530.278709823
2022-10-11,1235309.759959791
2022-10-12,1219939.4188766899
2022-10-13,1213089.0706621176
2022-10-14,1205560.0661771307
2022-10-17,1207315.5334067545
2022-10-18,1212508.69785369
2022-10-19,1224569.815603332
2022-10-20,1229928.997949581
2022-10-21,1235968.463781048
2022-10-24,1217573.2722424148
2022-10-25,1216532.1938261609
2022-10-26,1203756.8674584837
2022-10-27,1204744.7498328793
2022-10-28,1209341.6342204881
2022-10-31,1202612.8866021994
2022-11-01,1193770.004600049
2022-11-02,1191785.3514986173
2022-11-03,1191260.5008881632
2022-11-04,1203032.4681686636
2022-11-07,1187020.0575047533
2022-11-08,1176803.9338700143
2022-11-09,1188455.1650040923
2022-11-10,1180609.9126375127
2022-11-11,1188942.520388505
2022-11-14,1204760.9870354873
2022-11-15,1199947.4369929205
2022-11-16,1203931.8000048653
2022-11-17,1192642.7683086116
2022-11-18,1201741.492070441
2022-11-21,1200256.9052293831
2022-11-22,1205109.5116912294
2022-11-23,1195642.0167695773
2022-11-24,1177399.5745006506
2022-11-25,1186826.4977469598
2022-11-28,1158630.3111636785
2022-11-29,1155508.370761043
2022-11-30,1165687.2614014607
2022-12-01,1169708.349460172
2022-12-02,1174716.4904440981
2022-12-05,1174028.31885846
2022-12-06,1167539.386019107
2022-12-07,1164058.9644569186
2022-12-08,1156566.7655875362
2022-12-09,1144404.1388965193
2022-12-12,1118658.3580831052
2022-12-13,1121984.129948839
2022-12-14,1116286.19008882
2022-12-15,1115862.9008573568
2022-12-16,1116893.7632039895
2022-12-19,1112082.3197779672
2022-12-20,1107702.7366594588
2022-12-21,1106375.8763992216
2022-12-22,1111948.360235323
2022-12-23,1112400.1918164957
2022-12-26,1132856.4499220145
2022-12-27,1150461.6263601882
2022-12-28,1160454.0582237197
2022-12-29,1149923.7641295572
2022-12-30,1146130.925420431
2023-01-02,1142608.235186337
2023-01-03,1126711.6472826812
2023-01-04,1112672.5683917862
2023-01-05,1109957.3095355514
2023-01-06,1101274.7992034527
2023-01-09,1106977.9787437196
2023-01-10,1104615.6722055182
2023-01-11,1108710.2867028436
2023-01-12,1098047.0693760556
2023-01-13,1105630.6538016964
2023-01-16,1107267.92563732
2023-01-17,1098606.0713147656
2023-01-18,1108967.4769860278
2023-01-19,1114078.8838739987
2023-01-20,1119388.7165924478
2023-01-23,1127583.3963491602
2023-01-24,1124284.0725889085
2023-01-25,1129312.9886240717
2023-01-26,1127233.7800847054
2023-01-27,1112032.6879175168
2023-01-30,1120816.3790200395
2023-01-31,1109586.3425242845
