Date,Ticker,Raw_Momentum,Sector,Mom_Winsorized,Z_Momentum,Momentum_Quintile,Forward_Return,EV/EBIT,ROIC,Realized_Vol,Z_LowVol,Defensive_Quintile,Value_Quintile,Quality_Quintile
2021-12-01,A,0.33509966631787647,Healthcare,0.33509966631787647,0.47693720963585295,4,-0.1273409425384836,34.1652,12.3997,0.22733819794356275,0.5086307887277869,4,2,4
2021-12-01,AAPL,0.13425148606994375,Technology,0.13425148606994375,-0.5220088437057858,2,-0.015711977062884075,24.31677,41.4292,0.2376984051664843,0.9876461509466514,5,3,5
2021-12-01,ABBV,0.10807949039259768,Healthcare,0.10807949039259768,-0.5533590680273058,2,0.011004537110745671,13.50405,-1.5393,0.18100371911900578,1.2148806173344586,5,4,1
2021-12-01,ABT,0.19078367985158917,Healthcare,0.19078367985158917,-0.17801877855984688,3,-0.0943585296920566,26.34638,8.1381,0.1953381383625118,0.9963893039383357,5,2,3
2021-12-01,ACGL,0.15941226434179967,Financial Services,0.15941226434179967,-1.0230252949622716,1,0.04206971454192532,7.14122,12.4741,0.23659064403793117,0.38041592955742354,3,5,4
2021-12-01,ACN,0.38643114832825365,Technology,0.38643114832825365,0.6227147845890915,4,-0.14707505270852728,29.3092,16.8952,0.24478110345924417,0.9071105017532595,5,2,5
2021-12-01,ADBE,0.3004078855098984,Technology,0.3004078855098984,0.23222785693857853,4,-0.0577716818443712,56.43885,32.8605,0.41734769126022025,-1.0551024294182914,1,1,5
2021-12-01,ADI,0.19466030961842362,Technology,0.19466030961842362,-0.24779399602862265,3,-0.06356005189808289,48.38231,0.8951,0.2507634546830732,0.8390866329395256,5,1,2
2021-12-01,ADM,0.29797853447663947,Consumer Defensive,0.29797853447663947,1.3998196116738908,5,0.1096317189296181,13.44369,5.8669,0.20215902983565276,0.1857974033433387,3,4,3
2021-12-01,ADP,0.29945394123224967,Technology,0.29945394123224967,0.22789760070410617,3,-0.16015407115436642,27.88351,13.1215,0.18535538380600297,1.5828259866201724,5,2,4
2021-12-01,ADSK,0.04018467662550784,Technology,0.04018467662550784,-0.949007985686789,2,-0.11166829859755234,82.59264,40.6088,0.45268438688810037,-1.456907448509637,1,1,5
2021-12-01,AEE,0.10904788226938655,Utilities,0.10904788226938655,0.2824670812827052,4,0.003388305531418778,23.21377,2.033,0.17933468196864855,0.42940135218747216,3,3,2
2021-12-01,AEP,0.044017402479655354,Utilities,0.044017402479655354,-0.4325142800440225,2,0.016072729456189316,21.87558,1.577,0.1552653220294087,0.6688018129657745,4,3,2
2021-12-01,AES,0.08905955531061571,Utilities,0.08905955531061571,0.0627042675093028,3,-0.08724276765357497,14.40739,0.5472,0.24989236362926198,-0.9880336218885567,1,4,2
2021-12-01,AFL,0.22963461471564628,Financial Services,0.22963461471564628,-0.6699605541818744,2,0.0758692500355942,7.24945,7.8857,0.22029878746508716,0.6282269172099921,4,5,3
2021-12-01,AIG,0.6031211919419794,Financial Services,0.6031211919419794,1.2078595539654093,5,0.021633498107336946,9.26525,4.4638,0.2813656626552847,-0.3006446687922689,2,5,3
2021-12-01,AIZ,0.2002164739209158,Financial Services,0.2002164739209158,-0.8178694207839964,2,-0.02149361632186997,8.67284,15.2589,0.18018936055902499,1.2383204723139245,5,5,5
2021-12-01,AJG,0.3750352291155812,Financial Services,0.3750352291155812,0.06108632703363743,3,-0.06637380809954585,26.51276,4.4745,0.17543956939103925,1.310568250534852,5,2,3
2021-12-01,AKAM,0.00447662853858688,Technology,0.00447662853858688,-1.1110981637738648,1,-0.021274759435166657,23.57538,8.4873,0.22211933270608802,1.1647920157806042,5,3,4
2021-12-01,ALB,0.7135228009784449,Basic Materials,0.7135228009784449,1.439728180321787,5,-0.05420026369983766,51.34159,0.4836,0.38967247701843594,-1.1654958060913339,1,1,2
2021-12-01,ALGN,0.16840074368821023,Healthcare,0.16840074368821023,-0.2796003041591034,3,-0.2468425743763233,47.84918,21.9828,0.3730496054397815,-1.7123644437836123,1,1,5
2021-12-01,ALL,0.14673588984992847,Financial Services,0.14673588984992847,-1.086759716413289,1,0.02566927726353274,4.60207,7.2172,0.25059680639716087,0.16737201329508938,3,5,3
2021-12-01,ALLE,0.1147981337114734,Industrials,0.1147981337114734,-0.6663459397829967,2,-0.07077471322699136,19.79256,14.2381,0.23917014725117913,0.3265949486907832,3,3,4
2021-12-01,AMAT,0.5921157761928848,Technology,0.5921157761928848,1.5563826759058248,5,-0.12188609568220077,18.98782,29.4589,0.39313742043618455,-0.7798132956209812,2,3,5
2021-12-01,AMCR,0.05636849065479299,Consumer Cyclical,0.05636849065479299,-0.8903677936920078,2,0.0,16.16531,1.8266,0.16311005708861856,1.5540543106018296,5,4,2
2021-12-01,AMD,0.31098031356637135,Technology,0.31098031356637135,0.2802194677461764,4,-0.20604583150860545,58.02843,64.6259,0.520637067442494,-1.6746994421685149,1,1,5
2021-12-01,AME,0.10158694903251364,Industrials,0.10158694903251364,-0.7354263519960804,2,-0.06851424213450574,27.71072,8.3,0.19031795521477768,1.057067355722218,5,2,4
2021-12-01,AMGN,-0.07969538600671988,Healthcare,-0.07969538600671988,-1.405546568122245,1,0.009645677765286242,15.27631,3.6334,0.18573906584314848,1.1427024489993383,5,4,2
2021-12-01,AMP,0.5758125257876907,Financial Services,0.5758125257876907,1.0705567282198718,5,0.008784849615777635,7.63423,17.9758,0.2315810382150277,0.45661567764463945,4,5,5
2021-12-01,AMT,0.281826132117988,Real Estate,0.281826132117988,-0.4387435945598037,2,-0.13590042435843852,45.48394,0.6765,0.19868904993136838,0.8383124570062236,5,1,2
2021-12-01,AMZN,0.03546290080833492,Consumer Cyclical,0.03546290080833492,-0.9894293058418855,1,-0.10282991021845667,63.69758,12.0364,0.25037436799267937,0.716617518711848,4,1,4
2021-12-01,ANET,0.4099528241546042,Technology,0.4099528241546042,0.7294871462236135,4,-0.13523479959239126,39.49865,22.1437,0.4926008697541165,-1.6746994421685149,1,1,5
2021-12-01,AON,0.5238386763110681,Financial Services,0.5238386763110681,0.8092420101118686,4,-0.08024989956292883,36.81078,3.9123,0.20060803874041394,0.9277375265295789,5,2,2
2021-12-01,AOS,0.3497662472995511,Industrials,0.3497662472995511,0.5622868087581554,4,-0.10984251140286294,20.79554,15.1732,0.30209594859569744,-0.6143159839908384,2,3,5
2021-12-01,APA,0.8550877708321918,Energy,0.7540087032738506,0.9182967355848198,5,0.2350316669608552,8.32902,6.5139,0.5245518110645087,-1.4192611937660218,1,5,3
