Date,Ticker,EV/EBIT,ROIC
12/1/2021,A,34.1652,12.3997
1/1/2022,A,35.29233,12.3997
2/1/2022,A,31.28716,12.4219
3/1/2022,A,28.37417,12.4219
4/1/2022,A,28.73438,12.4219
5/1/2022,A,25.71269,12.6395
6/1/2022,A,25.51517,12.6395
7/1/2022,A,24.74966,12.6395
8/1/2022,A,27.55523,13.3836
9/1/2022,A,25.19731,13.3836
10/1/2022,A,23.82668,13.3836
11/1/2022,A,27.41854,12.1505
12/1/2022,A,29.52497,12.1505
1/1/2023,A,27.53499,12.1505
2/1/2023,A,28.55897,12.7284
3/1/2023,A,24.57085,12.7284
4/1/2023,A,24.8475,12.7284
5/1/2023,A,24.45941,12.9751
6/1/2023,A,20.39389,12.9751
7/1/2023,A,21.06049,12.9751
8/1/2023,A,21.43305,10.4499
9/1/2023,A,25.08898,10.4499
10/1/2023,A,23.10364,10.4499
11/1/2023,A,21.34064,11.4908
12/1/2023,A,28.71671,11.4908
1/1/2024,A,29.90424,11.4908
2/1/2024,A,28.65803,10.9826
3/1/2024,A,30.4673,10.9826
4/1/2024,A,31.75264,10.9826
5/1/2024,A,30.28736,11.0379
6/1/2024,A,28.9516,11.0379
7/1/2024,A,28.27318,11.0379
8/1/2024,A,31.60944,13.0072
9/1/2024,A,32.26931,13.0072
10/1/2024,A,33.06525,13.0072
11/1/2024,A,30.94638,11.144
12/1/2024,A,27.82868,11.144
1/1/2025,A,26.30303,11.144
2/1/2025,A,29.45083,10.6419
3/1/2025,A,24.98887,10.6419
4/1/2025,A,22.53353,10.6419
5/1/2025,A,21.1238,9.4776
6/1/2025,A,22.93762,9.4776
7/1/2025,A,23.37201,9.4776
8/1/2025,A,22.10484,9.9035
9/1/2025,A,24.28071,9.9035
10/1/2025,A,26.64078,9.9035
11/1/2025,A,28.06193,9.9035
12/1/2021,AAPL,24.31677,41.4292
1/1/2022,AAPL,26.2443,44.5438
2/1/2022,AAPL,23.69263,44.5438
3/1/2022,AAPL,22.09982,44.5438
4/1/2022,AAPL,23.65075,44.5695
5/1/2022,AAPL,20.7645,44.5695
6/1/2022,AAPL,19.55243,44.5695
7/1/2022,AAPL,18.22647,44.948
8/1/2022,AAPL,21.43152,44.948
9/1/2022,AAPL,20.94938,44.948
10/1/2022,AAPL,18.26569,44.3939
11/1/2022,AAPL,19.75878,44.3939
12/1/2022,AAPL,19.44711,44.3939
1/1/2023,AAPL,16.99903,44.2919
2/1/2023,AAPL,18.97596,44.2919
3/1/2023,AAPL,19.69681,44.2919
4/1/2023,AAPL,22.41652,44.209
5/1/2023,AAPL,23.06764,44.209
6/1/2023,AAPL,24.71741,44.209
7/1/2023,AAPL,26.66137,45.9418
8/1/2023,AAPL,27.05277,45.9418
9/1/2023,AAPL,25.88347,45.9418
10/1/2023,AAPL,23.34106,44.4007
11/1/2023,AAPL,23.72556,44.4007
12/1/2023,AAPL,25.68778,44.4007
1/1/2024,AAPL,25.86331,49.0495
2/1/2024,AAPL,23.80518,49.0495
3/1/2024,AAPL,22.83667,49.0495
4/1/2024,AAPL,21.58344,48.6351
5/1/2024,AAPL,21.48844,48.6351
6/1/2024,AAPL,24.44376,48.6351
7/1/2024,AAPL,27.62107,51.408
8/1/2024,AAPL,27.13398,51.408
9/1/2024,AAPL,28.44263,51.408
10/1/2024,AAPL,28.09087,43.361
11/1/2024,AAPL,27.04095,43.361
12/1/2024,AAPL,28.80995,43.361
1/1/2025,AAPL,30.4158,46.7953
2/1/2025,AAPL,27.85471,46.7953
3/1/2025,AAPL,28.55277,46.7953
4/1/2025,AAPL,26.32351,47.6958
5/1/2025,AAPL,24.7489,47.6958
6/1/2025,AAPL,23.28071,47.6958
7/1/2025,AAPL,24.09808,50.019
8/1/2025,AAPL,22.82481,50.019
9/1/2025,AAPL,26.21654,50.019
10/1/2025,AAPL,28.87316,53.3465
11/1/2025,AAPL,29.87628,53.3465
12/1/2021,ABBV,13.50405,-1.5393
1/1/2022,ABBV,15.20575,2.3609
2/1/2022,ABBV,15.34545,2.3609
3/1/2022,ABBV,16.84788,2.3609
4/1/2022,ABBV,18.18497,3.1852
5/1/2022,ABBV,16.34745,3.1852
6/1/2022,ABBV,15.99193,3.1852
7/1/2022,ABBV,16.67021,3.258
8/1/2022,ABBV,14.76301,3.258
9/1/2022,ABBV,14.42263,3.258
10/1/2022,ABBV,14.07164,3.9436
11/1/2022,ABBV,14.62967,3.9436
12/1/2022,ABBV,15.98612,3.9436
1/1/2023,ABBV,15.98448,2.0502
2/1/2023,ABBV,14.75094,2.0502
3/1/2023,ABBV,14.38,2.0502
4/1/2023,ABBV,14.65951,-3.1292
5/1/2023,ABBV,15.59769,-3.1292
6/1/2023,ABBV,13.47376,-3.1292
7/1/2023,ABBV,13.57906,-1.9868
8/1/2023,ABBV,16.08887,-1.9868
9/1/2023,ABBV,15.36846,-1.9868
10/1/2023,ABBV,15.4427,-4.9015
11/1/2023,ABBV,15.90779,-4.9015
12/1/2023,ABBV,15.67205,-4.9015
1/1/2024,ABBV,16.73427,-7.4413
2/1/2024,ABBV,17.8939,-7.4413
3/1/2024,ABBV,20.60248,-7.4413
4/1/2024,ABBV,20.83025,-5.8886
5/1/2024,ABBV,19.18192,-5.8886
6/1/2024,ABBV,19.52141,-5.8886
7/1/2024,ABBV,20.44422,-7.1502
8/1/2024,ABBV,21.99735,-7.1502
9/1/2024,ABBV,22.98068,-7.1502
10/1/2024,ABBV,23.0459,-7.6666
11/1/2024,ABBV,22.33442,-7.6666
12/1/2024,ABBV,22.42849,-7.6666
1/1/2025,ABBV,21.89333,-9.4984
2/1/2025,ABBV,21.24006,-9.4984
3/1/2025,ABBV,23.5389,-9.4984
4/1/2025,ABBV,23.31389,-9.0751
5/1/2025,ABBV,21.44388,-9.0751
6/1/2025,ABBV,20.7013,-9.0751
7/1/2025,ABBV,21.06174,-10.2222
8/1/2025,ABBV,21.01057,-10.2222
